Composition (at. %),VEC1,VEC,Electronegativity,Tm/K,δ/nm,B,C,Al,Si,P,Cr,Fe,Co,Ni,Cu,Ga,Y,Zr,Nb,Mo,Sn,Sb,Pr,Nd,Sm,Gd,Tb,Dy,Er,Tm,Hf,Ta,Bs/T,T/K
Fe75.5Ga3P10.5C4B4Si3,1.015,7.055,1.9065,1776.18,0.005075,0.04,0.04,0,0.03,0.105,0,0.755,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,774
Fe74Mo6P10C7.5B2.5,1.235,7.155,1.94505,1967.35,0.00642,0.025,0.075,0,0,0.1,0,0.74,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,no,749
Fe74Mo5P10C7.5B2.5Si1,1.215,7.135,1.94245,1955.16,0.00637,0.025,0.075,0,0.01,0.1,0,0.74,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,1.1,760
Fe74Mo4P10C7.5B2.5Si2,1.195,7.115,1.93985,1942.97,0.00632,0.025,0.075,0,0.02,0.1,0,0.74,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1.19,766
Fe76Mo2P10C7.5B2.5Si2,1.075,7.155,1.93325,1921.07,0.00608,0.025,0.075,0,0.02,0.1,0,0.76,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1.34,758
Fe75Mo5P10C7.5B2.5,1.175,7.175,1.94175,1956.4,0.0063,0.025,0.075,0,0,0.1,0,0.75,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,1.1,740
Fe75C7.0Si3.3B5P8.7Mo1,1.057,7.057,1.92783,1923.242,0.006296,0.05,0.07,0,0.033,0.087,0,0.75,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,1.41,786
Fe73C7.0Si3.3B5P8.7Mo3,1.177,7.017,1.93443,1945.142,0.006536,0.05,0.07,0,0.033,0.087,0,0.73,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1.3,803
Fe71C7.0Si3.3B5P8.7Mo5,1.297,6.977,1.94103,1967.042,0.006776,0.05,0.07,0,0.033,0.087,0,0.71,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,1.1,808
Fe78Mo1P10C4B4Si3,0.96,7.2,1.9086,1837.11,0.00479,0.04,0.04,0,0.03,0.1,0,0.78,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,1.44,780
Fe77Mo2P10C4B4Si3,1.02,7.18,1.9119,1848.06,0.00491,0.04,0.04,0,0.03,0.1,0,0.77,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1.39,783
Fe76Mo3P10C4B4Si3,1.08,7.16,1.9152,1859.01,0.00503,0.04,0.04,0,0.03,0.1,0,0.76,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1.32,793
Fe75Mo4P10C4B4Si3,1.14,7.14,1.9185,1869.96,0.00515,0.04,0.04,0,0.03,0.1,0,0.75,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1.27,799
Fe74Mo5P10C4B4Si3,1.2,7.12,1.9218,1880.91,0.00527,0.04,0.04,0,0.03,0.1,0,0.74,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,1.14,799
Fe74.48Si9.408B8.232P5.88Mo2,1.03728,6.99568,1.8816408,1811.09696,0.0040032,0.08232,0,0,0.09408,0.0588,0,0.7448,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1.35,828
Fe72.96Si9.216B8.064P5.76Mo4,1.13856,6.97536,1.8873216,1833.44192,0.0041664,0.08064,0,0,0.09216,0.0576,0,0.7296,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1.1,827
Fe71.44Si9.024B7.896P5.64Mo6,1.23984,6.95504,1.8930024,1855.78688,0.0043296,0.07896,0,0,0.09024,0.0564,0,0.7144,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0.98,827
Fe77Mo3P13C7,1.11,7.27,1.9371,1880.77,0.0056,0,0.07,0,0,0.13,0,0.77,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1.22,712
Fe74Mo6P13C7,1.29,7.21,1.947,1913.62,0.00596,0,0.07,0,0,0.13,0,0.74,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0.93,728
Fe71Mo9P13C7,1.47,7.15,1.9569,1946.47,0.00632,0,0.07,0,0,0.13,0,0.71,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0.64,742
Fe68Mo12P13C7,1.65,7.09,1.9668,1979.32,0.00668,0,0.07,0,0,0.13,0,0.68,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0.35,757
Fe78Mo1P9C6.5B3.5Si2,0.954999999999999,7.195,1.92125,1902.26,0.00561,0.035,0.065,0,0.02,0.09,0,0.78,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,1.45,736
Fe80Mo1P8C6B2Si3,0.88,7.28,1.9116,1890.75,0.00489,0.02,0.06,0,0.03,0.08,0,0.8,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,no,717
Fe81Mo1P7.5C5.5B2Si3,0.835,7.315,1.9062,1884.05,0.00458,0.02,0.055,0,0.03,0.075,0,0.81,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,1.64,709
Fe75Ni5P13C7,1.43,7.43,1.9312,1843.77,0.00529,0,0.07,0,0,0.13,0,0.75,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,693
Fe70Ni10P13C7,1.93,7.53,1.9352,1839.62,0.00534,0,0.07,0,0,0.13,0,0.7,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,686
Fe65Ni15P13C7,2.43,7.63,1.9392,1835.47,0.00539,0,0.07,0,0,0.13,0,0.65,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,680
Fe60Ni20P13C7,2.93,7.73,1.9432,1831.32,0.00544,0,0.07,0,0,0.13,0,0.6,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,676
Fe55Ni25P13C7,3.43,7.83,1.9472,1827.17,0.00549,0,0.07,0,0,0.13,0,0.55,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,672
Fe50Ni30P13C7,3.93,7.93,1.9512,1823.02,0.00554,0,0.07,0,0,0.13,0,0.5,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,663
Fe60Ni20P14B6,2.88,7.68,1.909,1694.92,0.00392,0.06,0,0,0,0.14,0,0.6,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,690
Fe50Ni30P14B6,3.88,7.88,1.917,1686.62,0.00402,0.06,0,0,0,0.14,0,0.5,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,696
Fe40Ni40P14B6,4.88,8.08,1.925,1678.32,0.00412,0.06,0,0,0,0.14,0,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,684
Fe30Ni50P14B6,5.88,8.28,1.933,1670.02,0.00422,0.06,0,0,0,0.14,0,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,665
Fe75B18Si4Zr3,0.82,6.82,1.8556,1915.27,0.00616,0.18,0,0,0.04,0,0,0.75,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,848
Fe77B15Si5Zr3,0.77,6.93,1.85,1897.41,0.00542,0.15,0,0,0.05,0,0,0.77,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,841
Fe77B16Si4.5Zr2.5,0.76,6.92,1.85425,1901.985,0.005485,0.16,0,0,0.045,0,0,0.77,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,846
Fe77B16Si5Zr2,0.76,6.92,1.8571,1899.78,0.00535,0.16,0,0,0.05,0,0,0.77,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,834
Fe77.2B16Si5Zr1.8,0.752,6.928,1.8581,1899.146,0.005282,0.16,0,0,0.05,0,0,0.772,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,845
Fe77.7B15.5Si5Zr1.8,0.737,6.953,1.85705,1896.376,0.005147,0.155,0,0,0.05,0,0,0.777,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,815
Fe77B16Si5.5Zr1.5,0.76,6.92,1.85995,1897.575,0.005215,0.16,0,0,0.055,0,0,0.77,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,821
Fe77.5B15.5Si5.5Zr1.5,0.744999999999999,6.945,1.8589,1894.805,0.00508,0.155,0,0,0.055,0,0,0.775,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,827
Fe77B14Si7.7Zr1.3,0.779999999999999,6.94,1.85829,1883.133,0.004761,0.14,0,0,0.077,0,0,0.77,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,831
Fe75B16.67Si8.33,0.833299999999999,6.8333,1.870838,1893.0226,0.005084,0.1667,0,0,0.0833,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,839
Fe74.17B16.67Si8.33Zr0.83,0.866499999999999,6.8001,1.866688,1895.6537,0.0053662,0.1667,0,0,0.0833,0,0,0.7417,0,0,0,0,0,0.0083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,854
Fe73.33B16.67Si8.33Zr1.67,0.9001,6.7665,1.862488,1898.3165,0.0056518,0.1667,0,0,0.0833,0,0,0.7333,0,0,0,0,0,0.0167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,873
Fe72.50B16.67Si8.33Zr2.50,0.9333,6.7333,1.858338,1900.9476,0.005934,0.1667,0,0,0.0833,0,0,0.725,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,882
Fe71.67B16.67Si8.33Zr3.33,0.966500000000001,6.7001,1.854188,1903.5787,0.0062162,0.1667,0,0,0.0833,0,0,0.7167,0,0,0,0,0,0.0333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,888
Fe70.83B16.67Si8.33Zr4.17,1.0001,6.6665,1.849988,1906.2415,0.0065018,0.1667,0,0,0.0833,0,0,0.7083,0,0,0,0,0,0.0417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,891
Fe70B16.67Si8.33Zr5,1.0333,6.6333,1.845838,1908.8726,0.006784,0.1667,0,0,0.0833,0,0,0.7,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,903
Fe74.25B14.85Si9.9Zr1,0.8815,6.8215,1.863115,1884.163,0.0050425,0.1485,0,0,0.099,0,0,0.7425,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,867
Fe71.67B16.67Si8.33Zr3.33,0.966500000000001,6.7001,1.854188,1903.5787,0.0062162,0.1667,0,0,0.0833,0,0,0.7167,0,0,0,0,0,0.0333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,883
Fe72.8B16Si8Zr3.2,0.928,6.752,1.8532,1899.864,0.005968,0.16,0,0,0.08,0,0,0.728,0,0,0,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,883
Fe73.85B15.38Si7.69Zr3.08,0.8922,6.8002,1.852281,1896.4332,0.0057381,0.1538,0,0,0.0769,0,0,0.7385,0,0,0,0,0,0.0308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,873
Fe74.81B14.81Si7.41Zr2.96,0.859100000000001,6.8439,1.851305,1893.0611,0.0055238,0.1481,0,0,0.0741,0,0,0.7481,0,0,0,0,0,0.0296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,865
Fe75.71B14.29Si7.14Zr2.86,0.8287,6.8855,1.850707,1890.3792,0.0053305,0.1429,0,0,0.0714,0,0,0.7571,0,0,0,0,0,0.0286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,862
Fe76.55B13.79Si6.9Zr2.76,0.8001,6.9241,1.849989,1887.5898,0.0051447,0.1379,0,0,0.069,0,0,0.7655,0,0,0,0,0,0.0276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,852
Fe64.8Co7.2B19.2Si4.8Nb4,1.616,6.8,1.86808,1945.56,0.006352,0.192,0,0,0.048,0,0,0.648,0.072,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,877
Fe57.6Co14.4B19.2Si4.8Nb4,2.264,6.872,1.87168,1942.464,0.006424,0.192,0,0,0.048,0,0,0.576,0.144,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,850
Fe50.4Co21.6B19.2Si4.8Nb4,2.912,6.944,1.87528,1939.368,0.006496,0.192,0,0,0.048,0,0,0.504,0.216,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,878
Fe43.2Co28.8B19.2Si4.8Nb4,3.56,7.016,1.87888,1936.272,0.006568,0.192,0,0,0.048,0,0,0.432,0.288,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,875
Fe36Co36B19.2Si4.8Nb4,4.208,7.088,1.88248,1933.176,0.00664,0.192,0,0,0.048,0,0,0.36,0.36,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,870
Co64.8Fe7.2B19.2Si4.8Nb4,6.8,7.376,1.89688,1920.792,0.006928,0.192,0,0,0.048,0,0,0.072,0.648,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,845
Co57.6Fe14.4B19.2Si4.8Nb4,6.152,7.304,1.89328,1923.888,0.006856,0.192,0,0,0.048,0,0,0.144,0.576,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,855
Co50.4Fe21.6B19.2Si4.8Nb4,5.504,7.232,1.88968,1926.984,0.006784,0.192,0,0,0.048,0,0,0.216,0.504,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,858
Co43.2Fe28.8B19.2Si4.8Nb4,4.856,7.16,1.88608,1930.08,0.006712,0.192,0,0,0.048,0,0,0.288,0.432,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,865
Fe77Mo1Ga2P10C4B4Si2,0.899999999999999,7.06,1.8695,1774.45,0.0048,0.04,0.04,0,0,0.1,0,0.77,0,0,0,0.02,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,1.41,no
Fe76Mo2Ga2P10C4B4Si2,0.54,6.62,1.6918,1732.84,0.00356,0.04,0.04,0,0.02,0,0,0.76,0,0,0,0.02,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1.32,788
Fe74Mo4Ga2P10C4B4Si2,0.66,6.58,1.6984,1754.74,0.0038,0.04,0.04,0,0.02,0,0,0.74,0,0,0,0.02,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1.16,790
Fe75Mo2Ga3P10C4B4Si2,0.57,6.57,1.6916,1717.76,0.00367,0.04,0.04,0,0.02,0,0,0.75,0,0,0,0.03,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1.27,798
Fe73Mo4Ga3P10C4B4Si2,0.69,6.53,1.6982,1739.66,0.00391,0.04,0.04,0,0.02,0,0,0.73,0,0,0,0.03,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1.11,801
Fe38.61Ni38.61B15.84P5.94Nb1,4.6832,7.772,1.913236,1819.7061,0.0057439,0.1584,0,0,0,0.0594,0,0.3861,0,0.3861,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,755
Fe38.415Ni38.415B15.76P5.91Nb1.5,4.6848,7.758,1.911654,1824.36415,0.00581085,0.1576,0,0,0,0.0591,0,0.38415,0,0.38415,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,765
Fe38.22Ni38.22B15.68P5.88Nb2,4.6864,7.744,1.910072,1829.0222,0.0058778,0.1568,0,0,0,0.0588,0,0.3822,0,0.3822,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,768
Fe38.025Ni38.025B15.6P5.85Nb2.5,4.688,7.73,1.90849,1833.68025,0.00594475,0.156,0,0,0,0.0585,0,0.38025,0,0.38025,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,777
Fe37.83Ni37.83B15.52P5.82Nb3,4.6896,7.716,1.906908,1838.3383,0.0060117,0.1552,0,0,0,0.0582,0,0.3783,0,0.3783,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,783
Fe37.44Ni37.44B15.36P5.76Nb4,4.6928,7.688,1.903744,1847.6544,0.0061456,0.1536,0,0,0,0.0576,0,0.3744,0,0.3744,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,785
Fe40Ni38Mo4B18,4.78,7.98,1.9496,1957.54,0.00574,0.18,0,0,0,0,0,0.4,0,0.4,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.91,no
Fe39Ni39Mo4Si6B12,4.74,7.86,1.9038,1881.47,0.00453,0.12,0,0,0.06,0,0,0.39,0,0.39,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.83,no
Fe71Ni5Mo3.5P10C4B4Si2.5,1.43,7.11,1.8185,1696.995,0.003225,0.04,0,0,0.025,0.1,0,0.71,0,0.05,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,1.17,762
Fe66Ni10Mo3.5P10C4B4Si2.5,1.93,7.21,1.8225,1692.845,0.003275,0.04,0,0,0.025,0.1,0,0.66,0,0.1,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,1.12,756
Fe61Ni15Mo3.5P10C4B4Si2.5,2.43,7.31,1.8265,1688.695,0.003325,0.04,0,0,0.025,0.1,0,0.61,0,0.15,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,1.03,752
Fe56Ni20Mo3.5P10C4B4Si2.5,2.93,7.41,1.8305,1684.545,0.003375,0.04,0,0,0.025,0.1,0,0.56,0,0.2,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0.93,750
Fe46Ni30Mo3.5P10C4B4Si2.5,3.93,7.61,1.8385,1676.245,0.003475,0.04,0,0,0.025,0.1,0,0.46,0,0.3,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0.75,742
Fe72B20Si4Nb4,0.96,6.72,1.8656,1954.08,0.00644,0.2,0,0,0.04,0,0,0.72,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,no
Fe64.8Ni7.2B20Si4Nb4,1.68,6.864,1.87136,1948.104,0.006512,0.2,0,0,0.04,0,0,0.648,0,0.072,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,no
Fe57.6Ni14.4B20Si4Nb4,2.4,7.008,1.87712,1942.128,0.006584,0.2,0,0,0.04,0,0,0.576,0,0.144,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,no
Fe50.4Ni21.6B20Si4Nb4,3.12,7.152,1.88288,1936.152,0.006656,0.2,0,0,0.04,0,0,0.504,0,0.216,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,no
Fe43.2Ni28.8B20Si4Nb4,3.84,7.296,1.88864,1930.176,0.006728,0.2,0,0,0.04,0,0,0.432,0,0.288,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,no
Fe36Ni36B20Si4Nb4,4.56,7.44,1.8944,1924.2,0.0068,0.2,0,0,0.04,0,0,0.36,0,0.36,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,no
Fe74Al4P12Ga2B4Si4,1.06,6.98,1.8752,1649.16,0.00414,0.04,0,0.04,0.04,0.12,0,0.74,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,778
Fe71Al4P12Ga5B4Si4,1.15,6.83,1.8746,1603.92,0.00447,0.04,0,0.04,0.04,0.12,0,0.71,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,781
Fe73Al5P11Ga2B4C5,1.08,6.92,1.9026,1769.22,0.00625,0.04,0.05,0.05,0,0.11,0,0.73,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,767
Fe70Al5P11Ga5B4C5,1.17,6.77,1.902,1723.98,0.00658,0.04,0.05,0.05,0,0.11,0,0.7,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,778
Fe72Al5Ga2P11C6B4,1.12,6.88,1.9098,1792.1,0.00672,0.04,0.06,0.05,0,0.11,0,0.72,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,793
Fe71.04Tb0.96B19.2Si4.8Nb4,1.0736,6.7568,1.857472,1946.9088,0.0067888,0.192,0,0,0.048,0,0,0.7104,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.0096,0,0,0,0,0,1.14,882
Fe70.08Tb1.92B19.2Si4.8Nb4,1.1792,6.7856,1.850464,1945.1616,0.0072976,0.192,0,0,0.048,0,0,0.7008,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.0192,0,0,0,0,0,1.01,914
Fe69.12Tb2.88B19.2Si4.8Nb4,1.2848,6.8144,1.843456,1943.4144,0.0078064,0.192,0,0,0.048,0,0,0.6912,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.0288,0,0,0,0,0,0.92,940
Fe68.16Tb3.84B19.2Si4.8Nb4,1.3904,6.8432,1.836448,1941.6672,0.0083152,0.192,0,0,0.048,0,0,0.6816,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.0384,0,0,0,0,0,0.76,969
Fe67.2Tb4.8B19.2Si4.8Nb4,1.496,6.872,1.82944,1939.92,0.008824,0.192,0,0,0.048,0,0,0.672,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0.69,995
Fe66.24Tb5.76B19.2Si4.8Nb4,1.6016,6.9008,1.822432,1938.1728,0.0093328,0.192,0,0,0.048,0,0,0.6624,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.0576,0,0,0,0,0,0.61,1012
Fe65.28Tb6.72B19.2Si4.8Nb4,1.7072,6.9296,1.815424,1936.4256,0.0098416,0.192,0,0,0.048,0,0,0.6528,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.0672,0,0,0,0,0,0.52,1019
Fe76.7Nb6Y0.3B17,0.819,6.955,1.85007,1960.992,0.005901,0.17,0,0,0,0,0,0.767,0,0,0,0,0.003,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,817
Fe76.4Nb6Y0.6B17,0.827999999999999,6.94,1.84824,1960.944,0.006072,0.17,0,0,0,0,0,0.764,0,0,0,0,0.006,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,no,822
Fe76.1Nb6Y0.9B17,0.837,6.925,1.84641,1960.896,0.006243,0.17,0,0,0,0,0,0.761,0,0,0,0,0.009,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,no,829
Fe75.5Nb6Y1.5B17,0.855,6.895,1.84275,1960.8,0.006585,0.17,0,0,0,0,0,0.755,0,0,0,0,0.015,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,no,841
Fe75Nb6Y2B17,0.869999999999999,6.87,1.8397,1960.72,0.00687,0.17,0,0,0,0,0,0.75,0,0,0,0,0.02,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,no,846
Fe74.5Nb6Y2.5B17,0.885,6.845,1.83665,1960.64,0.007155,0.17,0,0,0,0,0,0.745,0,0,0,0,0.025,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,no,861
Fe74Nb6Y3B17,0.899999999999999,6.82,1.8336,1960.56,0.00744,0.17,0,0,0,0,0,0.74,0,0,0,0,0.03,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806,879
Fe73.5Nb6Y3.5B17,0.915,6.795,1.83055,1960.48,0.007725,0.17,0,0,0,0,0,0.735,0,0,0,0,0.035,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,no,873
Fe73Nb6Y4B17,0.93,6.77,1.8275,1960.4,0.00801,0.17,0,0,0,0,0,0.73,0,0,0,0,0.04,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,879
Fe71Cr4Mo4P11B5C5,1.38,7.06,1.9225,1905.62,0.00587,0.05,0.05,0,0,0.11,0.04,0.71,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,no,753
Fe67Cr4Mo4Ga4P11B5C5,1.5,6.86,1.9217,1845.3,0.00631,0.05,0.05,0,0,0.11,0.04,0.67,0,0,0,0.04,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,no,785
Fe62Co5Cr4Mo4Ga4P11B5C5,1.95,6.91,1.9242,1843.15,0.00636,0.05,0.05,0,0,0.11,0.04,0.62,0.05,0,0,0.04,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,no,786
Fe65Sb2Cr4Mo4Ga4P11B5C5,1.6,6.8,1.9261,1827.16,0.00705,0.05,0.05,0,0,0.11,0.04,0.65,0,0,0,0.04,0,0,0,0.04,0,0.02,0,0,0,0,0,0,0,0,0,0,no,776
Co56Fe16Zr8B20,5.96,7.24,1.86,1923.08,0.00868,0.2,0,0,0,0,0,0.16,0.56,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,878
Fe77P7B13Nb2Cr1,0.899999999999999,7.06,1.8762,1838.53,0.00495,0.13,0,0,0,0.07,0.01,0.77,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,795
Fe77P9B11Nb2Cr1,0.94,7.1,1.8792,1808.49,0.00471,0.11,0,0,0,0.09,0.01,0.77,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,789
Fe77P11B9Nb2Cr1,0.98,7.14,1.8822,1778.45,0.00447,0.09,0,0,0,0.11,0.01,0.77,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,783
Fe77P13B7Nb2Cr1,1.02,7.18,1.8852,1748.41,0.00423,0.07,0,0,0,0.13,0.01,0.77,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,771
