Composition (at. %),VEC1,VEC,Electronegativity,Tm/K,δ/nm,B,C,Al,Si,P,Cr,Fe,Co,Ni,Cu,Ga,Y,Zr,Nb,Mo,Sn,Sb,Pr,Nd,Sm,Gd,Tb,Dy,Er,Tm,Hf,Ta,Bs/T,T/K
Fe74Nb6Y3B17,0.899999999999999,6.82,1.8336,1960.56,0.00744,0.17,0,0,0,0,0,0.74,0,0,0,0,0.03,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806,879
Fe73.5Nb6Y3.5B17,0.915,6.795,1.83055,1960.48,0.007725,0.17,0,0,0,0,0,0.735,0,0,0,0,0.035,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,no,873
Fe73Nb6Y4B17,0.93,6.77,1.8275,1960.4,0.00801,0.17,0,0,0,0,0,0.73,0,0,0,0,0.04,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,no,879
Fe72B20Si4Nb4,0.96,6.72,1.8656,1954.08,0.00644,0.2,0,0,0.04,0,0,0.72,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,880
Fe64.8Ni7.2B20Si4Nb4,1.68,6.864,1.87136,1948.104,0.006512,0.2,0,0,0.04,0,0,0.648,0,0.072,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,870
Fe57.6Ni14.4B20Si4Nb4,2.4,7.008,1.87712,1942.128,0.006584,0.2,0,0,0.04,0,0,0.576,0,0.144,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,855
Fe50.4Ni21.6B20Si4Nb4,3.12,7.152,1.88288,1936.152,0.006656,0.2,0,0,0.04,0,0,0.504,0,0.216,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,830
Fe43.2Ni28.8B20Si4Nb4,3.84,7.296,1.88864,1930.176,0.006728,0.2,0,0,0.04,0,0,0.432,0,0.288,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,840
Fe36Ni36B20Si4Nb4,4.56,7.44,1.8944,1924.2,0.0068,0.2,0,0,0.04,0,0,0.36,0,0.36,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,830
Fe72Si9.6B14.4Nb4,1.016,6.776,1.85776,1916.112,0.00532,0.144,0,0,0.096,0,0,0.72,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,885
Fe74Nb6Y3B17,0.899999999999999,6.82,1.8336,1960.56,0.00744,0.17,0,0,0,0,0,0.74,0,0,0,0,0.03,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,789
Fe74.48Si9.408B9.408P4.704Cr2,1.01376,6.97216,1.8698768,1813.36048,0.00392432,0.09408,0,0,0.09408,0.04704,0.02,0.7448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,825
Fe72.96Si9.216B9.216P4.608Cr4,1.11552,6.95232,1.8655936,1819.94496,0.00386464,0.09216,0,0,0.09216,0.04608,0.04,0.7296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,827
Fe71.44Si9.024B9.024P4.512Cr6,1.21728,6.93248,1.8613104,1826.52944,0.00380496,0.09024,0,0,0.09024,0.04512,0.06,0.7144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,840
Fe77Al3P11C9,1,7.16,1.9278,1886.3,0.00645,0,0.09,0.03,0,0.11,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,740
Fe77Al3P10C9B1,0.95,7.11,1.9059,1877.67,0.0063,0,0.09,0.03,0,0.1,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,744
Fe77Al3P9C9B2,0.9,7.06,1.884,1869.04,0.00615,0,0.09,0.03,0,0.09,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,751
Fe77Al3P8C9B3,0.85,7.01,1.8621,1860.41,0.006,0,0.09,0.03,0,0.08,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,753
Fe77Al3P7C9B4,0.8,6.96,1.8402,1851.78,0.00585,0,0.09,0.03,0,0.07,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,754
Fe77Al3P6C9B5,0.75,6.91,1.8183,1843.15,0.0057,0,0.09,0.03,0,0.06,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,760
Fe76Al4P12B4Si4,1,7.08,1.8756,1679.32,0.00392,0.04,0,0.04,0.04,0.12,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,757
Fe75Al5P11B4C5,1.02,7.02,1.903,1799.38,0.00603,0.04,0.05,0.05,0,0.11,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,758
Fe75Co5P13C7,1.38,7.38,1.9297,1845.77,0.00529,0,0.07,0,0,0.13,0,0.75,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55,685
Fe70Co10P13C7,1.83,7.43,1.9322,1843.62,0.00534,0,0.07,0,0,0.13,0,0.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.549,686
Fe65Co15P13C7,2.28,7.48,1.9347,1841.47,0.00539,0,0.07,0,0,0.13,0,0.65,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.522,688
Fe60Co20P13C7,2.73,7.53,1.9372,1839.32,0.00544,0,0.07,0,0,0.13,0,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.519,696
Fe78.85Co4.15Si1B16,0.8935,7.2015,1.866375,1896.6155,0.0044315,0.16,0,0,0.01,0,0,0.7885,0.0415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,720
